                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.2072,                0.93962,                 2.1589,                0.36506,                  0.375,                0.25352,                0.09596,                 2.4263,                 2.2348,                 4.4566,               0.000911,               0.000911,               0.000911
                     57,                 1.2149,                0.95584,                 2.2317,                0.42345,                0.46354,                0.31303,                0.12262,                 2.2046,                  2.126,                 4.3633,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2149,                0.93996,                 2.2212,                0.37626,                0.35938,                0.25436,                0.10199,                 2.4628,                 2.2553,                 4.6091,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1712,                0.92208,                 2.1973,                0.43728,                0.30729,                0.24486,                0.08742,                 2.4749,                 2.4381,                 4.5809,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1637,                0.92235,                 2.1431,                0.38115,                0.38542,                0.27982,                0.11369,                 2.3772,                 2.2913,                 4.5089,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1765,                0.93105,                 2.1847,                0.33226,                0.38542,                0.24492,                0.09543,                 2.5983,                 2.3024,                 4.8346,               0.000812,               0.000812,               0.000812
                     62,                 1.1776,                0.93419,                 2.1766,                0.36253,                0.36458,                0.24549,                0.08788,                  2.539,                 2.4237,                 4.7646,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.182,                0.93111,                 2.2353,                0.36722,                0.36458,                0.28175,                0.10172,                 2.4945,                 2.3187,                 4.6015,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1495,                0.87557,                 2.1157,                0.39653,                0.39062,                0.29204,                0.10965,                 2.3873,                  2.222,                 4.5058,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1202,                0.86023,                 2.1077,                0.35636,                0.45562,                0.31368,                0.12221,                 2.3417,                 2.0682,                 4.4337,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1339,                0.88411,                 2.1628,                0.37965,                 0.4375,                0.31446,                0.11473,                 2.3748,                 2.2013,                 4.5226,               0.000713,               0.000713,               0.000713
                     67,                 1.1333,                0.86507,                 2.1138,                0.48763,                0.35417,                0.29469,                0.11462,                 2.4566,                 2.0352,                 4.7458,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1302,                0.86895,                 2.1157,                0.41106,                0.38542,                0.30444,                0.11306,                  2.515,                 2.1319,                 4.8723,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1309,                0.85816,                  2.124,                0.48415,                0.32292,                0.28905,                0.10393,                 2.4505,                 2.3951,                 4.6318,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1091,                0.84756,                 2.1306,                0.41874,                 0.3527,                0.27953,                0.09771,                 2.4576,                 2.3366,                 4.6239,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1333,                 0.8843,                 2.1299,                 0.4304,                 0.4375,                0.30376,                0.10262,                 2.5192,                 2.2417,                 4.6596,               0.000614,               0.000614,               0.000614
                     72,                 1.0769,                0.83582,                 2.0974,                0.37216,                0.33854,                0.24833,                0.08867,                 2.6467,                 2.3196,                 4.7876,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0792,                0.83642,                 2.0576,                0.41756,                0.30208,                0.24716,                 0.0911,                 2.5869,                  2.387,                 4.9126,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0791,                0.85554,                 2.1301,                0.46569,                0.41146,                0.32565,                0.11721,                 2.4279,                 2.0763,                  4.751,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0671,                0.83818,                 2.0859,                0.43125,                0.42188,                0.30025,                0.10807,                 2.4303,                 2.2186,                  4.595,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0892,                0.83713,                 2.0631,                0.39392,                0.44271,                0.30136,                 0.1075,                 2.4809,                 2.1259,                 4.6288,               0.000515,               0.000515,               0.000515
                     77,                 1.0533,                0.80955,                  2.053,                0.40583,                0.36458,                0.26255,                0.09823,                 2.5233,                 2.3751,                 4.9222,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0866,                 0.8338,                 2.0957,                0.38137,                0.36979,                0.25069,                0.08839,                 2.5963,                 2.3712,                 4.8196,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0698,                0.82066,                 2.0859,                0.44273,                0.35417,                0.29672,                0.10152,                 2.5827,                 2.1392,                 4.8528,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0465,                0.81506,                 2.0806,                  0.459,                0.36458,                0.28945,                0.10705,                 2.4261,                 2.2942,                 4.5793,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0146,                 0.7707,                  2.076,                0.41092,                0.38021,                 0.2991,                 0.1171,                 2.3778,                 2.2293,                 4.5133,               0.000416,               0.000416,               0.000416
                     82,                 1.0048,                0.78373,                 2.0415,                0.41016,                0.38021,                0.28416,                0.09868,                 2.5233,                 2.2362,                 4.7444,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0193,                0.79151,                 2.0601,                0.47152,                0.35417,                0.28389,                 0.0984,                 2.5413,                 2.2475,                 4.8505,              0.0003764,              0.0003764,              0.0003764
                     84,                0.99759,                0.77396,                 2.0178,                0.43464,                0.32292,                0.25766,                0.09506,                 2.5687,                 2.3842,                  4.947,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0028,                0.76641,                 2.0396,                0.47877,                0.34896,                0.29705,                0.10384,                 2.6011,                 2.2352,                 4.9851,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0079,                0.77046,                 2.0254,                0.46379,                0.33788,                0.27995,                0.09793,                 2.5841,                 2.2807,                 4.8391,               0.000317,               0.000317,               0.000317
                     87,                0.99412,                0.76614,                 2.0437,                0.38766,                0.41667,                0.30155,                0.10765,                  2.533,                 2.3251,                 4.8644,              0.0002972,              0.0002972,              0.0002972
                     88,                0.99157,                0.75288,                 2.0488,                0.37165,                0.42188,                0.29435,                0.10251,                 2.5165,                 2.3516,                 4.7458,              0.0002774,              0.0002774,              0.0002774
                     89,                0.98399,                0.73972,                  1.923,                0.36214,                0.42188,                0.29193,                0.10122,                 2.5228,                 2.2214,                 4.9541,              0.0002576,              0.0002576,              0.0002576
                     90,                0.98017,                0.74387,                 1.9813,                0.42412,                  0.375,                0.28681,                0.10742,                 2.4959,                 2.2562,                 4.8479,              0.0002378,              0.0002378,              0.0002378
                     91,                0.89229,                0.63348,                 1.9815,                0.38224,                0.39062,                0.28587,                0.10537,                 2.4783,                 2.2608,                 4.8364,               0.000218,               0.000218,               0.000218
                     92,                0.84037,                 0.5724,                 1.9385,                0.39055,                0.33333,                0.24984,                0.08799,                 2.5925,                 2.4043,                 4.8204,              0.0001982,              0.0001982,              0.0001982
                     93,                0.81175,                0.57828,                 1.9217,                0.43455,                0.32292,                0.28069,                0.09807,                 2.4728,                 2.3513,                 4.6799,              0.0001784,              0.0001784,              0.0001784
                     94,                0.78646,                 0.5495,                 1.9219,                 0.4276,                0.34896,                0.26626,                0.09378,                 2.4984,                 2.3667,                 4.8238,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80468,                0.54864,                 1.9639,                0.37883,                0.34624,                0.26531,                0.09313,                 2.4764,                 2.3497,                 4.7767,              0.0001388,              0.0001388,              0.0001388
                     96,                0.80259,                0.55342,                 1.9381,                0.38394,                0.32812,                0.25033,                0.08739,                 2.5527,                  2.442,                 4.9501,               0.000119,               0.000119,               0.000119
                     97,                0.79985,                0.54723,                 1.9508,                  0.408,                0.36613,                0.27496,                0.09847,                   2.52,                 2.3763,                 4.8515,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.76884,                0.52664,                 1.9241,                0.45123,                0.34896,                0.27481,                0.09685,                 2.5801,                 2.3414,                 4.8709,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.78348,                0.53831,                 1.9586,                0.41413,                0.34375,                0.27774,                 0.0994,                 2.5474,                 2.3691,                 4.8736,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.73588,                0.50852,                 1.8658,                0.45592,                0.33854,                0.27867,                0.09876,                 2.5389,                 2.3662,                 4.8622,               3.98e-05,               3.98e-05,               3.98e-05
